measures,4,,,,,
beats,3,,,,,
divisions,2,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,0,,,,,
45,53,55,57,98,45,0,
41,0,57,59,98,41,0,
0,0,59,61,0,0,98,
0,0,62,62,98,98,0,
41,0,57,64,98,41,0,
41,0,59,62,0,41,0,
0,0,60,61,0,0,0,
45,50,62,62,0,98,0,
0,55,55,65,98,0,98,
43,0,57,0,0,43,0,
0,0,59,64,0,0,0,
0,0,64,62,98,98,0,
43,55,55,65,0,43,98,
43,0,57,0,98,43,98,
0,0,60,64,0,0,0,
47,55,62,65,0,98,98,
0,45,57,67,98,0,0,
45,0,61,67,0,45,98,
0,0,62,66,0,0,0,
0,0,64,67,98,98,0,
45,0,57,69,98,45,0,
45,0,61,0,0,45,0,
0,0,62,0,0,0,98,
0,48,64,0,98,98,0,
